MaterialCode,Description,Status,Category,StockOnHand,UOM,LeadTimeDays,AvgMonthlyUsage,StockCoverMonths,StockCoverDays,HealthStatus
"RM-SS001/005","KAHLWAX 2039L CANDELILA WAX",ACTIVE,Raw Material,125.172,KG,134,30,4.1724,125.172,REORDER NOW
"RM-CO007/054","DK-PGT PASTE IOB (BLACK) (5KG/PAIL)",ACTIVE,Raw Material,4.32867,KG,104,1.5,2.88578,86.5733,REORDER NOW
"RM-L004/011","Avocado Oil Cosmetic (23KG/TONG)",ACTIVE,Raw Material,22.692,KG,30,20,1.1346,34.038,LOW STOCK
"RM-CO004/043","DK-PGT Paste R7 (Red) (5KG/PAIL)",ACTIVE,Raw Material,7.47867,KG,194,1.8,4.15481,124.644,REORDER NOW
"RM-CO002/027","DK-PGT Paste IOR (Coral) (5KG/PAIL)",ACTIVE,Raw Material,74.9907,KG,104,15,4.99938,149.981,HEALTHY
"RM-SS004/020","Akogel (20KG/BAG)",ACTIVE,Raw Material,33.5893,KG,74,10,3.35893,100.768,HEALTHY
"RM-L005/028","Primalhyal Gold (Hyaluronic Acid) (5KG/TONG)",ACTIVE,Raw Material,10.1463,KG,30,5,2.02927,60.878,HEALTHY
"RM-SS003/012","Beeswax (25KG/DRUM)",ACTIVE,Raw Material,103.099,KG,30,35,2.94568,88.3703,HEALTHY
"RM-L001/001","Palmester 3595 [MCT Oil] (190KG/Drum)",ACTIVE,Raw Material,423.776,KG,30,60,7.06293,211.888,OVERSTOCKED
"RM-CO003/031","DK-PGT Paste Y6L (Orange) (5KG/PAIL)",ACTIVE,Raw Material,34.0647,KG,0,4,8.51617,255.485,OVERSTOCKED
"RM-EO006/023","Green Mandarin Essential Oil (1KG/BTL)",ACTIVE,Raw Material,6.628,KG,56,2.5,2.6512,79.536,HEALTHY
"RM-L022/069","Jojoba Oil Golden (23KG/TONG)",ACTIVE,Raw Material,35.242,KG,30,25,1.40968,42.2904,LOW STOCK
"RM-L003/010","Vitamin E Acetate - Care (5KG/TONG)",ACTIVE,Raw Material,134.981,KG,74,12,11.2484,337.453,OVERSTOCKED
"RM-SS007/075","Shea Butter Refined TYP EPR (25KG/CTN)",ACTIVE,Raw Material,377.844,KG,120,50,7.55688,226.706,OVERSTOCKED
"PM-T031/277","Tube - Lip Balm Paper (Black Cherry) 5g",ACTIVE,Packaging,21321,PCS,65,5000,4.2642,127.926,HEALTHY
"PM-BO101/247","Unitbox - Lip Balm Paper (Black Cherry) 5g",ACTIVE,Packaging,9426,PCS,30,5000,1.8852,56.556,HEALTHY
"PM-T032/278","Tube - Lip Balm Paper (Peach Coral) 5g",ACTIVE,Packaging,15400,PCS,60,4000,3.85,115.5,HEALTHY
"PM-BO102/248","Unitbox - Lip Balm Paper (Peach Coral) 5g",ACTIVE,Packaging,8200,PCS,30,4000,2.05,61.5,HEALTHY
